# q  I_recon
9.327266400000000512e-02 1.063370299950795600e-01
9.355488100000000640e-02 1.057112980952314985e-01
9.383709799999999379e-02 1.050915895908028086e-01
9.411931499999999506e-02 1.044778245166084751e-01
9.440153199999999634e-02 1.038698844646216285e-01
9.468374899999999761e-02 1.032676466713910862e-01
9.496596499999999941e-02 1.026710162974867058e-01
9.524818200000000068e-02 1.020799095739951950e-01
9.553039900000000195e-02 1.014942617272865805e-01
9.581261600000000322e-02 1.009140357149366507e-01
9.609483300000000450e-02 1.003391896925062282e-01
9.637705000000000577e-02 9.976958318375125923e-02
9.665926599999999369e-02 9.920501833406346337e-02
9.694148299999999496e-02 9.864535548223589412e-02
9.722369999999999624e-02 9.809060203994213190e-02
9.750591699999999751e-02 9.754077275751456277e-02
9.778813399999999878e-02 9.699579725013161846e-02
9.807035100000000005e-02 9.645555895216054165e-02
9.835256700000000185e-02 9.591996291804270880e-02
9.863478400000000312e-02 9.538894781653274590e-02
9.891700100000000440e-02 9.486246032949954832e-02
9.919921800000000567e-02 9.434042712820109311e-02
9.948143499999999306e-02 9.382276595937726060e-02
9.976365199999999434e-02 9.330938802872755511e-02
1.000458679999999961e-01 9.280019500812074218e-02
1.003280849999999974e-01 9.229509334044951052e-02
1.006103019999999987e-01 9.179407637292835709e-02
1.008925190000000000e-01 9.129717024558109406e-02
1.011747360000000012e-01 9.080433338320738346e-02
1.014569530000000025e-01 9.031541745842999735e-02
1.017391690000000043e-01 8.983028250982362517e-02
1.020213860000000056e-01 8.934888532077220336e-02
1.023036030000000068e-01 8.887122732604875452e-02
1.025858199999999942e-01 8.839728752421015245e-02
1.028680369999999955e-01 8.792701543729615488e-02
1.031502539999999968e-01 8.746034983677733465e-02
1.034324699999999986e-01 8.699718317784076171e-02
1.037146869999999999e-01 8.653738864536558717e-02
1.039969040000000011e-01 8.608093501144918613e-02
1.042791210000000024e-01 8.562790523230937034e-02
1.045613380000000037e-01 8.517834932812293203e-02
1.048435550000000049e-01 8.473211500327960943e-02
1.051257720000000062e-01 8.428899080201256167e-02
1.054079879999999941e-01 8.384888469828877255e-02
1.056902049999999954e-01 8.341183586182933374e-02
1.059724219999999967e-01 8.297788430221411660e-02
1.062546389999999980e-01 8.254701797376598482e-02
1.065368559999999992e-01 8.211920931497859732e-02
1.068190730000000005e-01 8.169439344662317304e-02
1.071012890000000023e-01 8.127246816614523695e-02
1.073835060000000036e-01 8.085334600820552609e-02
1.076657230000000048e-01 8.043702695862524343e-02
1.079479400000000061e-01 8.002352774692517157e-02
1.082301569999999935e-01 7.961281952787713223e-02
1.085123739999999948e-01 7.920483067158631818e-02
1.087945899999999966e-01 7.879949861508325770e-02
1.090768069999999978e-01 7.839678908382663458e-02
1.093590239999999991e-01 7.799667940167021030e-02
1.096412410000000004e-01 7.759914792162257713e-02
1.099234580000000017e-01 7.720417508551052910e-02
1.102056750000000029e-01 7.681173282820620563e-02
1.104878910000000047e-01 7.642176769390707225e-02
1.107701080000000060e-01 7.603421872518924263e-02
1.110523249999999934e-01 7.564905648371401947e-02
1.113345419999999947e-01 7.526627105789022998e-02
1.116167589999999959e-01 7.488585003515066396e-02
1.118989759999999972e-01 7.450777256749510635e-02
1.121811919999999990e-01 7.413201740895948577e-02
1.124634090000000003e-01 7.375855589701697801e-02
1.127456260000000016e-01 7.338736096537677722e-02
1.130278430000000028e-01 7.301838885859268657e-02
1.133100600000000041e-01 7.265155776118512043e-02
1.135922770000000054e-01 7.228678891457587796e-02
1.138744929999999933e-01 7.192410269019570979e-02
1.141567099999999946e-01 7.156357605762109220e-02
1.144389269999999958e-01 7.120523797791578069e-02
1.147211439999999971e-01 7.084899868444978488e-02
1.150033609999999984e-01 7.049476000507595708e-02
1.152855779999999997e-01 7.014249526025063963e-02
1.155677940000000015e-01 6.979221884816041999e-02
1.158500110000000027e-01 6.944393510683199988e-02
1.161322280000000040e-01 6.909763858686258919e-02
1.164144450000000053e-01 6.875331628013134355e-02
1.166966620000000066e-01 6.841091550494449169e-02
1.169788789999999939e-01 6.807036420946073474e-02
1.172610949999999957e-01 6.773163835096034091e-02
1.175433119999999970e-01 6.739479443410371917e-02
1.178255289999999983e-01 6.705988674118171233e-02
1.181077459999999996e-01 6.672686031926333694e-02
1.183899630000000008e-01 6.639561225016003820e-02
1.186721800000000021e-01 6.606607764052520315e-02
1.189543960000000039e-01 6.573825440944784659e-02
1.192366130000000052e-01 6.541214590900311376e-02
1.195188300000000065e-01 6.508778074000497182e-02
1.198010469999999938e-01 6.476519434818567289e-02
1.200832639999999951e-01 6.444438476979669206e-02
1.203654809999999964e-01 6.412529571413663754e-02
1.206476979999999977e-01 6.380787006508745196e-02
1.209299139999999995e-01 6.349207175271721904e-02
1.212121310000000007e-01 6.317786935652047742e-02
1.214943480000000020e-01 6.286526822405294479e-02
1.217765650000000033e-01 6.255431627436558450e-02
1.220587820000000046e-01 6.224504637980821098e-02
1.223409990000000058e-01 6.193739896387348565e-02
1.226232149999999937e-01 6.163128784545619104e-02
1.229054319999999950e-01 6.132668414432490556e-02
1.231876489999999963e-01 6.102363370937025772e-02
1.234698659999999976e-01 6.072216964287927704e-02
1.237520829999999988e-01 6.042225308561314373e-02
