# q  I_recon
5.630225900000000033e-02 2.932227799752458730e-01
5.658447600000000161e-02 2.904927187607468375e-01
5.686669300000000288e-02 2.877896911933425228e-01
5.714890899999999774e-02 2.851135951004809543e-01
5.743112599999999901e-02 2.824643306217390903e-01
5.771334300000000028e-02 2.798418290762399452e-01
5.799556000000000155e-02 2.772460175889210898e-01
5.827777700000000283e-02 2.746768172273405528e-01
5.855999399999999716e-02 2.721340556183082793e-01
5.884220999999999896e-02 2.696175029239550325e-01
5.912442700000000023e-02 2.671269610342222323e-01
5.940664400000000150e-02 2.646624126996886539e-01
5.968886100000000278e-02 2.622238422676447800e-01
5.997107799999999711e-02 2.598110741065805529e-01
6.025329499999999838e-02 2.574238303691623875e-01
6.053551100000000018e-02 2.550619131895878744e-01
6.081772800000000145e-02 2.527252684690594053e-01
6.109994500000000273e-02 2.504138730879550967e-01
6.138216199999999706e-02 2.481275166299053425e-01
6.166437899999999833e-02 2.458658862659233724e-01
6.194659599999999960e-02 2.436287786804151589e-01
6.222881200000000140e-02 2.414162268428301228e-01
6.251102899999999574e-02 2.392282309424538511e-01
6.279324599999999701e-02 2.370644856655289845e-01
6.307546299999999828e-02 2.349245093217508518e-01
6.335767999999999955e-02 2.328080226107789030e-01
6.363989700000000083e-02 2.307151236943737471e-01
6.392211300000000263e-02 2.286459151071449092e-01
6.420433000000000390e-02 2.266001397235062886e-01
6.448654700000000517e-02 2.245774072660046417e-01
6.476876400000000644e-02 2.225774483391594893e-01
6.505098099999999384e-02 2.206002085237567245e-01
6.533319799999999511e-02 2.186456291913829175e-01
6.561541399999999691e-02 2.167134916499420805e-01
6.589763099999999818e-02 2.148034884060343874e-01
6.617984799999999945e-02 2.129153950475680956e-01
6.646206500000000073e-02 2.110490742957516763e-01
6.674428200000000200e-02 2.092043866452783230e-01
6.702649900000000327e-02 2.073811327732566767e-01
6.730871600000000454e-02 2.055790916609378238e-01
6.759093200000000634e-02 2.037980720291656667e-01
6.787314899999999374e-02 2.020378954473572297e-01
6.815536599999999501e-02 2.002983952771089371e-01
6.843758299999999628e-02 1.985793483040011187e-01
6.871979999999999755e-02 1.968805158959072710e-01
6.900201699999999883e-02 1.952017015614321560e-01
6.928423300000000062e-02 1.935427659973041614e-01
6.956645000000000190e-02 1.919035373805324796e-01
6.984866700000000317e-02 1.902837762564728585e-01
7.013088400000000444e-02 1.886832144885280393e-01
7.041310100000000571e-02 1.871016507335717394e-01
7.069531799999999311e-02 1.855389570693343482e-01
7.097753399999999491e-02 1.839949898881374502e-01
7.125975099999999618e-02 1.824694845790028885e-01
7.154196799999999745e-02 1.809621691417997169e-01
7.182418499999999872e-02 1.794728489791332926e-01
7.210640200000000000e-02 1.780014117439965293e-01
7.238861900000000127e-02 1.765477200135910918e-01
7.267083500000000307e-02 1.751115345417511571e-01
7.295305200000000434e-02 1.736925796536831212e-01
7.323526900000000561e-02 1.722906665829536665e-01
7.351748600000000688e-02 1.709056655600519614e-01
7.379970299999999428e-02 1.695374194986390970e-01
7.408191999999999555e-02 1.681856729838958064e-01
7.436413599999999735e-02 1.668501607935905795e-01
7.464635299999999862e-02 1.655306984729610076e-01
7.492856999999999990e-02 1.642271924542615391e-01
7.521078700000000117e-02 1.629394959975711266e-01
7.549300400000000244e-02 1.616673125378913223e-01
7.577522100000000371e-02 1.604103306642033488e-01
7.605743700000000551e-02 1.591684191966935003e-01
7.633965400000000678e-02 1.579415617169080965e-01
7.662187099999999418e-02 1.567296566380549927e-01
7.690408799999999545e-02 1.555323303327931506e-01
7.718630499999999672e-02 1.543491876983657529e-01
