# q  I_recon
3.245493999999999810e-03 9.955971056005116226e-01
3.527709999999999874e-03 9.948008238101788692e-01
3.809926999999999845e-03 9.939391454882151589e-01
4.092143999999999816e-03 9.930122720809230197e-01
4.374361000000000221e-03 9.920204045142663185e-01
4.656577999999999759e-03 9.909638085935529306e-01
4.938795000000000164e-03 9.898427977646510056e-01
5.221011000000000228e-03 9.886576843759822264e-01
5.503227999999999766e-03 9.874087507135363984e-01
5.785445000000000171e-03 9.860962933113482931e-01
6.067661999999999708e-03 9.847206602520096608e-01
6.349879000000000114e-03 9.832822363936154497e-01
6.632095999999999651e-03 9.817813940546015194e-01
6.914311999999999715e-03 9.802184797640977054e-01
7.196529000000000120e-03 9.785938277114992756e-01
7.478745999999999658e-03 9.769078823341721396e-01
7.760963000000000063e-03 9.751611383248030007e-01
8.043180000000000468e-03 9.733540627296423109e-01
8.325397000000000006e-03 9.714870620256844669e-01
8.607613999999999543e-03 9.695605458083226269e-01
8.889829999999999607e-03 9.675750303710567435e-01
9.172046999999999145e-03 9.655310638242345922e-01
9.454264000000000417e-03 9.634291827100560646e-01
9.736480999999999955e-03 9.612698533234195208e-01
1.001869799999999949e-02 9.590535466731645586e-01
1.030091500000000077e-02 9.567808288462237298e-01
1.058313100000000083e-02 9.544523197091269173e-01
1.086534800000000037e-02 9.520685927794898529e-01
1.114756499999999990e-02 9.496302087538062153e-01
1.142978199999999944e-02 9.471377286100538528e-01
1.171199900000000071e-02 9.445917990211364357e-01
1.199421600000000025e-02 9.419931024927860053e-01
1.227643200000000032e-02 9.393422670669745456e-01
1.255864899999999985e-02 9.366397933049315228e-01
1.284086599999999939e-02 9.338862315341502907e-01
1.312308300000000066e-02 9.310823112667652168e-01
1.340530000000000020e-02 9.282288326352498009e-01
1.368751699999999974e-02 9.253265055868897804e-01
1.396973299999999980e-02 9.223759246328365746e-01
1.425194999999999934e-02 9.193776701266566098e-01
1.453416700000000061e-02 9.163325010220620959e-01
1.481638400000000015e-02 9.132412142704152691e-01
1.509860099999999969e-02 9.101045246424980251e-01
1.538081799999999923e-02 9.069230435170079208e-01
1.566303399999999929e-02 9.036974196189666575e-01
1.594525100000000056e-02 9.004284263800425014e-01
1.622746799999999837e-02 8.971169174559793236e-01
1.650968499999999964e-02 8.937636561060959828e-01
1.679190200000000091e-02 8.903693159011182301e-01
1.707411899999999871e-02 8.869345920988931375e-01
1.735633500000000051e-02 8.834603080078290427e-01
1.763855199999999832e-02 8.799472777297984161e-01
1.792076899999999959e-02 8.763962629803631055e-01
1.820298600000000086e-02 8.728079218476412215e-01
1.848520299999999866e-02 8.691829472626042552e-01
1.876741999999999994e-02 8.655221832333144238e-01
1.904963600000000173e-02 8.618265191602654252e-01
1.933185299999999954e-02 8.580967178747089807e-01
1.961407000000000081e-02 8.543335008315233736e-01
1.989628699999999861e-02 8.505376149525488705e-01
2.017850399999999988e-02 8.467099502536787892e-01
2.046072100000000116e-02 8.428514160441237246e-01
2.074293799999999896e-02 8.389627268493567991e-01
2.102515400000000076e-02 8.350444487390276116e-01
2.130737099999999856e-02 8.310972009190944476e-01
2.158958799999999983e-02 8.271219503791872318e-01
2.187180500000000111e-02 8.231196970513356970e-01
2.215402199999999891e-02 8.190912711608312469e-01
2.243623900000000018e-02 8.150373753151273215e-01
2.271845499999999851e-02 8.109587509048805654e-01
2.300067199999999978e-02 8.068561708873132066e-01
2.328288900000000106e-02 8.027304587935659708e-01
2.356510599999999886e-02 7.985823559703394414e-01
2.384732300000000013e-02 7.944125579755649813e-01
2.412954000000000140e-02 7.902218135101451990e-01
2.441175599999999973e-02 7.860110182568827986e-01
2.469397300000000101e-02 7.817810291308170401e-01
2.497618999999999881e-02 7.775325991773373024e-01
2.525840700000000008e-02 7.732663761856423124e-01
2.554062400000000135e-02 7.689830726249398118e-01
2.582284099999999916e-02 7.646835453266296323e-01
2.610505700000000096e-02 7.603686694462187257e-01
2.638727399999999876e-02 7.560391226855158742e-01
2.666949100000000003e-02 7.516955459200869161e-01
2.695170800000000130e-02 7.473386297398619815e-01
2.723392499999999911e-02 7.429691939254520205e-01
2.751614200000000038e-02 7.385880604181495057e-01
2.779835799999999871e-02 7.341959604646364212e-01
2.808057499999999998e-02 7.297935267861933584e-01
2.836279200000000125e-02 7.253814876054243133e-01
2.864500899999999906e-02 7.209606423274894649e-01
2.892722600000000033e-02 7.165317747202322174e-01
2.920944300000000160e-02 7.120954906496713699e-01
2.949165899999999993e-02 7.076523349936021390e-01
2.977387600000000120e-02 7.032029231409843151e-01
3.005609299999999900e-02 6.987481049953564449e-01
3.033831000000000028e-02 6.942887030558638761e-01
3.062052700000000155e-02 6.898253581830257053e-01
3.090274399999999935e-02 6.853586405818903327e-01
3.118496000000000115e-02 6.808891913679055996e-01
3.146717699999999895e-02 6.764176830499762927e-01
3.174939400000000023e-02 6.719448231285002349e-01
3.203161100000000150e-02 6.674711976562993643e-01
3.231382800000000277e-02 6.629973573206261461e-01
3.259604499999999710e-02 6.585239255758568166e-01
3.287826099999999890e-02 6.540516354765297802e-01
3.316047800000000018e-02 6.495811507258577588e-01
3.344269500000000145e-02 6.451130413728309865e-01
3.372491200000000272e-02 6.406478196175400264e-01
3.400712899999999705e-02 6.361860716920858527e-01
3.428934599999999833e-02 6.317284698481538951e-01
3.457156200000000013e-02 6.272756665204364257e-01
3.485377900000000140e-02 6.228280857552005445e-01
3.513599600000000267e-02 6.183861536978285667e-01
3.541821299999999700e-02 6.139504171387822895e-01
3.570042999999999828e-02 6.095215659058502711e-01
3.598264699999999955e-02 6.051002462337418120e-01
3.626486400000000082e-02 6.006869038585080922e-01
3.654708000000000262e-02 5.962819561312121541e-01
3.682929699999999695e-02 5.918858970772367112e-01
3.711151399999999823e-02 5.874993844127229803e-01
3.739373099999999950e-02 5.831229975813091437e-01
3.767594800000000077e-02 5.787570780008864935e-01
3.795816500000000204e-02 5.744019242368288980e-01
3.824038099999999690e-02 5.700580224281498465e-01
3.852259799999999818e-02 5.657259595939382324e-01
3.880481499999999945e-02 5.614063189013365207e-01
3.908703200000000072e-02 5.570994955360341061e-01
3.936924900000000199e-02 5.528058547855624338e-01
3.965146600000000326e-02 5.485258218758291004e-01
3.993368199999999812e-02 5.442598832566355460e-01
4.021589899999999940e-02 5.400084466857542065e-01
4.049811600000000067e-02 5.357718682408562083e-01
4.078033300000000194e-02 5.315504782646647275e-01
4.106255000000000321e-02 5.273446884405458279e-01
4.134476699999999755e-02 5.231549667895734057e-01
4.162698299999999935e-02 5.189817387205671873e-01
4.190920000000000062e-02 5.148252385595797342e-01
4.219141700000000189e-02 5.106857346254918273e-01
4.247363400000000316e-02 5.065636168741906031e-01
4.275585099999999750e-02 5.024593602555890159e-01
4.303806799999999877e-02 4.983733644372825844e-01
4.332028400000000057e-02 4.943058715781666890e-01
4.360250100000000184e-02 4.902570667905549739e-01
4.388471800000000311e-02 4.862272714664073736e-01
4.416693499999999745e-02 4.822168446313854773e-01
4.444915199999999872e-02 4.782261117381667037e-01
4.473136899999999999e-02 4.742553295171011429e-01
4.501358500000000179e-02 4.703047690370040224e-01
4.529580200000000306e-02 4.663747327106095297e-01
4.557801899999999740e-02 4.624656007310669614e-01
4.586023599999999867e-02 4.585776172801169226e-01
4.614245299999999994e-02 4.547108056452228153e-01
4.642467000000000121e-02 4.508652064388061209e-01
4.670688600000000301e-02 4.470411771651456867e-01
4.698910299999999735e-02 4.432391699432970955e-01
4.727131999999999862e-02 4.394595246939491107e-01
4.755353699999999989e-02 4.357023182246581028e-01
4.783575400000000116e-02 4.319676230207757373e-01
4.811797100000000244e-02 4.282556340632517888e-01
4.840018699999999729e-02 4.245666079516508540e-01
4.868240399999999857e-02 4.209007057285846787e-01
4.896462099999999984e-02 4.172580449930868851e-01
4.924683800000000111e-02 4.136387410997539038e-01
4.952905500000000238e-02 4.100430113442056768e-01
4.981127199999999672e-02 4.064711076303895165e-01
5.009348799999999852e-02 4.029232007853123521e-01
5.037570499999999979e-02 3.993993004529209911e-01
