# q  I_recon
2.398167000000000094e-03 9.970089738043954597e-01
2.680304000000000107e-03 9.962657636365142011e-01
2.962441000000000119e-03 9.954408686057569788e-01
3.244579000000000039e-03 9.945345798107148028e-01
3.526716000000000052e-03 9.935472436269009444e-01
3.808853000000000065e-03 9.924791997861993620e-01
4.090990000000000078e-03 9.913307956320061010e-01
4.373128000000000432e-03 9.901023803518458344e-01
4.655264999999999577e-03 9.887943941495337397e-01
4.937401999999999590e-03 9.874073220939030282e-01
5.219539999999999944e-03 9.859416491771361146e-01
5.501676999999999956e-03 9.843978752381272734e-01
5.783813999999999969e-03 9.827764900460764785e-01
6.065950999999999982e-03 9.810780563126568765e-01
6.348089000000000336e-03 9.793031759068953068e-01
6.630226000000000348e-03 9.774524638335230220e-01
6.912363000000000361e-03 9.755265000639598005e-01
7.194500000000000374e-03 9.735258779400465246e-01
7.476637999999999860e-03 9.714512865911369977e-01
7.758774999999999873e-03 9.693034999189982237e-01
8.040912000000000753e-03 9.670832495254080285e-01
8.323050000000000240e-03 9.647912196628515291e-01
8.605187000000000253e-03 9.624281243087928761e-01
8.887324000000000265e-03 9.599947596339041267e-01
9.169461000000000278e-03 9.574919879218773966e-01
9.451598999999999764e-03 9.549206369840907982e-01
9.733735999999999777e-03 9.522815113929594677e-01
1.001587299999999979e-02 9.495753946489691177e-01
1.029800999999999980e-02 9.468031789978345047e-01
1.058014799999999929e-02 9.439657955991599403e-01
1.086228499999999930e-02 9.410641903895855531e-01
1.114442199999999931e-02 9.380992511826233837e-01
1.142656000000000054e-02 9.350718742027922525e-01
1.170869700000000055e-02 9.319830771444163053e-01
1.199083400000000056e-02 9.288338843559396096e-01
1.227297100000000057e-02 9.256252728585178113e-01
1.255510900000000006e-02 9.223581151073778628e-01
1.283724600000000007e-02 9.190333391826656095e-01
1.311938300000000009e-02 9.156520274756179134e-01
1.340152000000000010e-02 9.122153475713840054e-01
1.368365799999999959e-02 9.087243687219320742e-01
1.396579499999999960e-02 9.051800730830232844e-01
1.424793199999999961e-02 9.015834219062942578e-01
1.453007000000000083e-02 8.979355247520807159e-01
1.481220700000000084e-02 8.942375813777523330e-01
1.509434400000000086e-02 8.904906721818899307e-01
1.537648099999999914e-02 8.866957849025101090e-01
1.565861899999999862e-02 8.828539173100473647e-01
1.594075600000000037e-02 8.789662667128949058e-01
1.622289299999999865e-02 8.750340379689011128e-01
1.650503000000000040e-02 8.710583696685041399e-01
1.678716800000000162e-02 8.670402916346169331e-01
1.706930499999999989e-02 8.629808959995228790e-01
1.735144200000000164e-02 8.588813467396892998e-01
1.763357999999999939e-02 8.547428365849224496e-01
1.791571700000000114e-02 8.505665114570234442e-01
1.819785399999999942e-02 8.463533759329281425e-01
1.847999100000000117e-02 8.421044804742564560e-01
1.876212899999999892e-02 8.378210078975502073e-01
1.904426600000000067e-02 8.335042200857594175e-01
1.932640299999999894e-02 8.291552397226098492e-01
1.960854000000000069e-02 8.247751136350363055e-01
1.989067799999999844e-02 8.203649077703542014e-01
2.017281500000000019e-02 8.159258758602778716e-01
2.045495199999999847e-02 8.114592463709160430e-01
2.073708900000000022e-02 8.069660683620946129e-01
2.101922700000000144e-02 8.024472033764439294e-01
2.130136399999999972e-02 7.979036444826493879e-01
2.158350100000000146e-02 7.933366280930886916e-01
2.186563899999999921e-02 7.887474388517626833e-01
2.214777600000000096e-02 7.841372404875465163e-01
2.242991299999999924e-02 7.795070127980003871e-01
2.271205000000000099e-02 7.748577701510366289e-01
2.299418799999999874e-02 7.701905748383152117e-01
2.327632500000000049e-02 7.655065450365036162e-01
2.355846199999999876e-02 7.608066748841089133e-01
2.384059900000000051e-02 7.560919214691055323e-01
2.412273700000000173e-02 7.513632692629892418e-01
2.440487400000000001e-02 7.466218716920394183e-01
2.468701099999999829e-02 7.418688382129352554e-01
2.496914899999999951e-02 7.371051263606615001e-01
2.525128600000000126e-02 7.323316456359955096e-01
2.553342299999999954e-02 7.275493087455849883e-01
2.581556000000000128e-02 7.227591756939396594e-01
2.609769799999999904e-02 7.179622929329296799e-01
2.637983500000000078e-02 7.131596009404752579e-01
2.666197199999999906e-02 7.083518970936835135e-01
2.694410900000000081e-02 7.035400506732404358e-01
2.722624699999999856e-02 6.987250323755903603e-01
2.750838400000000031e-02 6.939078662885934667e-01
2.779052099999999859e-02 6.890894090135863959e-01
2.807265899999999981e-02 6.842704557107350816e-01
2.835479600000000155e-02 6.794518922605295996e-01
2.863693299999999983e-02 6.746346294897701545e-01
2.891907000000000158e-02 6.698195807569936600e-01
2.920120799999999933e-02 6.650074582603104911e-01
2.948334500000000108e-02 6.601989385246432862e-01
2.976548199999999936e-02 6.553947492035753219e-01
3.004761900000000110e-02 6.505958115338470460e-01
3.032975699999999886e-02 6.458030206770850601e-01
3.061189400000000060e-02 6.410171358482661397e-01
3.089403099999999888e-02 6.362387855621585153e-01
3.117616900000000010e-02 6.314686421186636034e-01
3.145830599999999838e-02 6.267074967224605109e-01
3.174044300000000013e-02 6.219560773081340699e-01
3.202258000000000188e-02 6.172150134359479789e-01
3.230471800000000310e-02 6.124848746779905095e-01
3.258685499999999791e-02 6.077663421242128772e-01
3.286899199999999965e-02 6.030601325240373400e-01
3.315112900000000140e-02 5.983669595723757340e-01
3.343326700000000262e-02 5.936873739680760265e-01
3.371540399999999743e-02 5.890219270241711103e-01
3.399754099999999918e-02 5.843711794929632442e-01
3.427967900000000040e-02 5.797357675259543486e-01
3.456181600000000215e-02 5.751163444778608635e-01
3.484395299999999696e-02 5.705133310320316120e-01
3.512608999999999870e-02 5.659271114644330858e-01
3.540822799999999992e-02 5.613581726128553662e-01
3.569036500000000167e-02 5.568071862629042634e-01
3.597250200000000342e-02 5.522747375402898840e-01
3.625463899999999823e-02 5.477612258660374822e-01
3.653677699999999945e-02 5.432669830709044856e-01
3.681891400000000120e-02 5.387924932365045771e-01
3.710105100000000294e-02 5.343383013501439294e-01
3.738318799999999775e-02 5.299049141891999382e-01
3.766532599999999897e-02 5.254925885812424813e-01
3.794746300000000072e-02 5.211015775303214914e-01
3.822960000000000247e-02 5.167322369886169220e-01
3.851173799999999675e-02 5.123850645092971057e-01
3.879387499999999850e-02 5.080605606236194838e-01
3.907601200000000025e-02 5.037590075550569813e-01
3.935814900000000199e-02 4.994806677843166010e-01
3.964028700000000321e-02 4.952258374238639460e-01
3.992242399999999802e-02 4.909948993274540485e-01
4.020456099999999977e-02 4.867881604872550949e-01
4.048669800000000152e-02 4.826058423062573044e-01
4.076883600000000274e-02 4.784481364326753083e-01
4.105097299999999755e-02 4.743153503107314650e-01
4.133310999999999930e-02 4.702078024400237477e-01
4.161524800000000052e-02 4.661257601012495644e-01
4.189738500000000226e-02 4.620693841850872507e-01
4.217952199999999707e-02 4.580387752635427523e-01
4.246165899999999882e-02 4.540341704951499358e-01
4.274379700000000004e-02 4.500558782044714601e-01
4.302593400000000179e-02 4.461041832875474733e-01
4.330807099999999660e-02 4.421791575029558330e-01
4.359020799999999835e-02 4.382808674123217507e-01
4.387234599999999957e-02 4.344094483086202163e-01
