# q  I_recon
3.245493999999999810e-03 9.955709241912549246e-01
3.527709999999999874e-03 9.947699018343709731e-01
3.809926999999999845e-03 9.939030915989596204e-01
4.092143999999999816e-03 9.929706959419509760e-01
4.374361000000000221e-03 9.919729168199382663e-01
4.656577999999999759e-03 9.909100212024514187e-01
4.938795000000000164e-03 9.897823237976128841e-01
5.221011000000000228e-03 9.885901382316095720e-01
5.503227999999999766e-03 9.873337479590015286e-01
5.785445000000000171e-03 9.860134507811414428e-01
6.067661999999999708e-03 9.846295963811151353e-01
6.349879000000000114e-03 9.831825714543274142e-01
6.632095999999999651e-03 9.816727501654946009e-01
6.914311999999999715e-03 9.801004809350720715e-01
7.196529000000000120e-03 9.784660997618309652e-01
7.478745999999999658e-03 9.767700531630751914e-01
7.760963000000000063e-03 9.750128379818706614e-01
8.043180000000000468e-03 9.731949235378326568e-01
8.325397000000000006e-03 9.713167188404349117e-01
8.607613999999999543e-03 9.693786360479211828e-01
8.889829999999999607e-03 9.673811940328403969e-01
9.172046999999999145e-03 9.653249433453715556e-01
9.454264000000000417e-03 9.632104233849233532e-01
9.736480999999999955e-03 9.610381038195743297e-01
1.001869799999999949e-02 9.588084590629643023e-01
1.030091500000000077e-02 9.565220583552289657e-01
1.058313100000000083e-02 9.541795246505289096e-01
1.086534800000000037e-02 9.517814348102011657e-01
1.114756499999999990e-02 9.493283537221692825e-01
1.142978199999999944e-02 9.468208465571588128e-01
1.171199900000000071e-02 9.442595640486394215e-01
1.199421600000000025e-02 9.416451927069218186e-01
1.227643200000000032e-02 9.389783646879920065e-01
1.255864899999999985e-02 9.362595845776320314e-01
1.284086599999999939e-02 9.334894070368533470e-01
1.312308300000000066e-02 9.306685666831047143e-01
1.340530000000000020e-02 9.277978690693866604e-01
1.368751699999999974e-02 9.248780294032084015e-01
1.396973299999999980e-02 9.219096472948418164e-01
1.425194999999999934e-02 9.188933080666531472e-01
1.453416700000000061e-02 9.158297762504344908e-01
1.481638400000000015e-02 9.127198544647906475e-01
1.509860099999999969e-02 9.095642634079087463e-01
1.538081799999999923e-02 9.063636207127031552e-01
